epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.298,1.03103,4.65869,1.26672,0.17242,0.07266,0.02094,0.01577,0.85699,3.55151,1.17993,6.5172e-05,6.5172e-05,6.5172e-05
2,521.039,1.01533,4.13626,1.28454,0.11727,0.1171,0.02761,0.02138,0.83713,3.18218,1.14837,0.000126814,0.000126814,0.000126814
3,769.801,1.01536,3.91967,1.27928,0.08852,0.10396,0.03605,0.02776,0.84751,3.03796,1.15605,0.00018476,0.00018476,0.00018476
4,1013.18,0.97951,3.73757,1.2442,0.11287,0.13979,0.04501,0.03532,0.80135,2.9137,1.10816,0.000179368,0.000179368,0.000179368
5,1259.89,0.96712,3.60362,1.22232,0.16127,0.15948,0.06516,0.05275,0.77873,2.77266,1.08198,0.000173824,0.000173824,0.000173824
6,1501.38,0.95371,3.48067,1.2048,0.12338,0.18165,0.07359,0.05976,0.74982,2.69692,1.05948,0.00016828,0.00016828,0.00016828
7,1746.06,0.92139,3.3761,1.18432,0.17764,0.20089,0.09663,0.07955,0.73328,2.60625,1.04407,0.000162736,0.000162736,0.000162736
8,1988.77,0.91279,3.29091,1.1699,0.15415,0.21992,0.11122,0.091,0.72337,2.54189,1.03839,0.000157192,0.000157192,0.000157192
9,2232.47,0.90822,3.21659,1.1666,0.1626,0.24014,0.12452,0.10285,0.70719,2.48117,1.01971,0.000151648,0.000151648,0.000151648
10,2474.16,0.88237,3.1505,1.15646,0.15888,0.24686,0.1452,0.11979,0.68957,2.4178,1.01596,0.000146104,0.000146104,0.000146104
11,2718.31,0.88393,3.08283,1.15149,0.17587,0.25672,0.15309,0.12792,0.67677,2.35649,0.99843,0.00014056,0.00014056,0.00014056
12,2963.5,0.86401,3.00887,1.13689,0.17518,0.27116,0.16706,0.13791,0.68148,2.34541,1.00361,0.000135016,0.000135016,0.000135016
13,3206.92,0.86397,2.96537,1.15101,0.26226,0.28897,0.19794,0.166,0.6579,2.25019,0.99771,0.000129472,0.000129472,0.000129472
14,3449.12,0.85341,2.89825,1.13053,0.25174,0.3255,0.21788,0.18218,0.63874,2.20342,0.97554,0.000123928,0.000123928,0.000123928
15,3690.03,0.8386,2.85662,1.12395,0.24285,0.32587,0.23448,0.19518,0.64495,2.17673,0.97826,0.000118384,0.000118384,0.000118384
16,3934.47,0.8371,2.82134,1.11191,0.30158,0.31287,0.25642,0.21472,0.62899,2.11379,0.9649,0.00011284,0.00011284,0.00011284
17,4176.66,0.81836,2.75529,1.11327,0.30433,0.34598,0.28136,0.23937,0.61834,2.06666,0.96069,0.000107296,0.000107296,0.000107296
18,4421.15,0.81432,2.70077,1.11072,0.36383,0.34008,0.30399,0.2588,0.60232,2.00373,0.95263,0.000101752,0.000101752,0.000101752
19,4661.52,0.80591,2.69854,1.10115,0.37445,0.34919,0.32026,0.27201,0.60274,1.97381,0.95022,9.6208e-05,9.6208e-05,9.6208e-05
20,4905.86,0.81012,2.66207,1.10042,0.38237,0.36287,0.33075,0.28179,0.59787,1.94755,0.94634,9.0664e-05,9.0664e-05,9.0664e-05
21,5147.66,0.80449,2.60065,1.10028,0.39496,0.39308,0.35443,0.30377,0.58734,1.90449,0.94388,8.512e-05,8.512e-05,8.512e-05
22,5387.5,0.79822,2.56373,1.10056,0.39465,0.40166,0.36458,0.31259,0.58742,1.87765,0.94365,7.9576e-05,7.9576e-05,7.9576e-05
23,5629.17,0.79632,2.52602,1.09195,0.44011,0.40815,0.38694,0.33245,0.57336,1.83215,0.93604,7.4032e-05,7.4032e-05,7.4032e-05
24,5873.83,0.78106,2.51079,1.08452,0.46702,0.40149,0.40883,0.3536,0.56175,1.79243,0.92813,6.8488e-05,6.8488e-05,6.8488e-05
25,6116.38,0.78252,2.48001,1.0923,0.47379,0.41194,0.42003,0.36285,0.55839,1.75839,0.92699,6.2944e-05,6.2944e-05,6.2944e-05
26,6360.54,0.65165,2.44415,1.01302,0.4449,0.42217,0.41571,0.36062,0.56075,1.76145,0.92733,5.74e-05,5.74e-05,5.74e-05
27,6603.66,0.64407,2.33388,1.00826,0.47728,0.44983,0.44496,0.38663,0.55028,1.69316,0.91769,5.1856e-05,5.1856e-05,5.1856e-05
28,6842.26,0.63633,2.30208,0.9962,0.53863,0.43675,0.4677,0.40795,0.5435,1.66449,0.91239,4.6312e-05,4.6312e-05,4.6312e-05
